349.6625,0.5754
328.3992,0.5936
282.4976,0.6313
257.1842,0.6536
228.1581,0.6802
184.6191,0.7360
206.5574,0.7067
214.3202,0.6997
245.3713,0.6662
304.7734,0.6117
143.1051,0.8017
125.5545,0.8324
271.3597,0.6411
199.4696,0.7123
191.3693,0.7249
175.1688,0.7514
165.7184,0.7654
152.8930,0.7863
131.2922,0.8226
82.0154,0.8925
71.2150,0.9036
97.5410,0.8743
113.0665,0.8547
120.4918,0.8422
102.6037,0.8687
108.6789,0.8617
87.4156,0.8869
57.3770,0.9204
47.9267,0.9358
52.6519,0.9274
36.7888,0.9497
28.3510,0.9609
16.2006,0.9791
9.4503,0.9874
0.3375,1.0014
5.7377,0.9930
12.4879,0.9818
21.6008,0.9707
64.4648,0.9120
319.2864,0.6006
293.2980,0.6215
342.9122,0.5810
