1.0125,1.0000
9.1128,0.9860
18.5632,0.9735
28.3510,0.9581
39.1514,0.9441
48.9392,0.9302
59.4021,0.9162
69.1900,0.8966
75.6027,0.8813
81.0029,0.8687
89.7782,0.8478
98.2160,0.8296
105.3038,0.8184
111.3790,0.8087
119.8168,0.7933
126.9045,0.7821
137.0299,0.7626
148.8428,0.7402
164.3684,0.7249
175.8438,0.7067
186.3067,0.6913
193.7319,0.6802
201.4947,0.6732
212.6326,0.6620
230.5207,0.6425
241.3211,0.6313
253.1340,0.6201
261.5718,0.6103
269.3346,0.6034
282.4976,0.5908
295.6606,0.5768
306.7985,0.5684
318.6114,0.5559
328.7367,0.5461
340.8872,0.5363
345.9499,0.5307
347.9749,0.5293
349.6625,0.5265
